Tratamiento ID;Grupo Medico ID;Tratamiento Descripcion
566;44;"INVISALIGN FULL (CF-A): ACEPTACIÓN DE CLINCHECK O SIMULACIÓN DE TRATAMIENTO INICIAL"
567;44;"INVISALIGN FULL (CF-A): IMPRESIONES Y REGISTRO DE MORDIDA PARA ESTUDIO ESPECÍFICO DE INVISALIGN"
568;44;"INVISALIGN FULL (CF-A): INSTALACIÓN INICIAL"
569;44;"INVISALIGN FULL (CF-B): ACEPTACIÓN DE CLINCHECK O SIMULACIÓN DE TRATAMIENTO INICIAL"
570;44;"INVISALIGN FULL (CF-B): FINANCIACIÓN (10 MENSUALIDADES)"
571;44;"INVISALIGN FULL (CF-B): IMPRESIONES Y REGISTRO DE MORDIDA PARA ESTUDIO ESPECÍFICO DE INVISALIGN"
572;44;"INVISALIGN FULL (CF-B): INSTALACIÓN INICIAL"
573;44;"INVISALIGN FULL (SF): ACEPTACIÓN DE CLINCHECK O SIMULACIÓN DE TRATAMIENTO INICIAL"
574;44;"INVISALIGN FULL (SF): IMPRESIONES Y REGISTRO DE MORDIDA PARA ESTUDIO ESPECÍFICO DE INVISALIGN"
575;44;"INVISALIGN FULL (SF): INSTALACIÓN INICIAL"
576;44;"INVISALIGN FULL: CAMBIO A ISEVEN"
577;44;"INVISALIGN FULL: CAMBIO A LITE"
578;44;"INVISALIGN FULL: CAMBIO A TEEN"
579;44;"INVISALIGN FULL: CANCELACIÓN DE TRATAMIENTO ANTES DE LA ACEPTACIÓN DE CLINCHECK O SIMULACIÓN DE TRATAMIENTO"
580;44;"INVISALIGN FULL: CANCELACIÓN DE TRATAMIENTO DESPUÉS DE LA ACEPTACIÓN DE CLINCHECK O SIMULACIÓN DE TRATAMIENTO"
581;44;"INVISALIGN FULL: IMPRESIONES Y REGISTRO DE MORDIDA PARA CORRECCIÓN A MITAD DE TRATAMIENTO"
582;44;"INVISALIGN FULL: IMPRESIONES Y REGISTRO DE MORDIDA PARA REFINAMIENTO ADICIONAL"
583;44;"INVISALIGN FULL: IMPRESIONES Y REGISTRO DE MORDIDA PARA REFINAMIENTO INCLUIDO PRIMERO"
584;44;"INVISALIGN FULL: IMPRESIONES Y REGISTRO DE MORDIDA PARA REFINAMIENTO INCLUIDO SEGUNDO"
585;44;"INVISALIGN FULL: IMPRESIONES Y REGISTRO DE MORDIDA PARA REFINAMIENTO INCLUIDO TERCERO"
586;44;"INVISALIGN ISEVEN (CF-A): ACEPTACIÓN DE CLINCHECK O SIMULACIÓN DE TRATAMIENTO INICIAL"
587;44;"INVISALIGN ISEVEN (CF-A): IMPRESIONES Y REGISTRO DE MORDIDA PARA ESTUDIO ESPECÍFICO DE INVISALIGN"
588;44;"INVISALIGN ISEVEN (CF-A): INSTALACIÓN INICIAL"
589;44;"INVISALIGN ISEVEN (CF-B): ACEPTACIÓN DE CLINCHECK O SIMULACIÓN DE TRATAMIENTO INICIAL"
590;44;"INVISALIGN ISEVEN (CF-B): FINANCIACIÓN (10 MENSUALIDADES)"
591;44;"INVISALIGN ISEVEN (CF-B): IMPRESIONES Y REGISTRO DE MORDIDA PARA ESTUDIO ESPECÍFICO DE INVISALIGN"
592;44;"INVISALIGN ISEVEN (CF-B): INSTALACIÓN INICIAL"
593;44;"INVISALIGN ISEVEN (SF): ACEPTACIÓN DE CLINCHECK O SIMULACIÓN DE TRATAMIENTO INICIAL"
594;44;"INVISALIGN ISEVEN (SF): IMPRESIONES Y REGISTRO DE MORDIDA PARA ESTUDIO ESPECÍFICO DE INVISALIGN"
595;44;"INVISALIGN ISEVEN (SF): INSTALACIÓN INICIAL"
596;44;"INVISALIGN ISEVEN: CAMBIO A FULL"
597;44;"INVISALIGN ISEVEN: CAMBIO A LITE"
598;44;"INVISALIGN ISEVEN: CAMBIO A TEEN"
599;44;"INVISALIGN ISEVEN: CANCELACIÓN DE TRATAMIENTO ANTES DE LA ACEPTACIÓN DE CLINCHECK O SIMULACIÓN DE TRATAMIENTO"
600;44;"INVISALIGN ISEVEN: CANCELACIÓN DE TRATAMIENTO DESPUÉS DE LA ACEPTACIÓN DE CLINCHECK O SIMULACIÓN DE TRATAMIENTO"
601;44;"INVISALIGN ISEVEN: IMPRESIONES Y REGISTRO DE MORDIDA PARA REFINAMIENTO ADICIONAL"
602;44;"INVISALIGN LITE (CF-A): ACEPTACIÓN DE CLINCHECK O SIMULACIÓN DE TRATAMIENTO INICIAL"
603;44;"INVISALIGN LITE (CF-A): IMPRESIONES Y REGISTRO DE MORDIDA PARA ESTUDIO ESPECÍFICO DE INVISALIGN"
604;44;"INVISALIGN LITE (CF-A): INSTALACIÓN INICIAL"
605;44;"INVISALIGN LITE (CF-B): ACEPTACIÓN DE CLINCHECK O SIMULACIÓN DE TRATAMIENTO INICIAL"
606;44;"INVISALIGN LITE (CF-B): FINANCIACIÓN (10 MENSUALIDADES)"
607;44;"INVISALIGN LITE (CF-B): IMPRESIONES Y REGISTRO DE MORDIDA PARA ESTUDIO ESPECÍFICO DE INVISALIGN"
608;44;"INVISALIGN LITE (CF-B): INSTALACIÓN INICIAL"
609;44;"INVISALIGN LITE (SF): ACEPTACIÓN DE CLINCHECK O SIMULACIÓN DE TRATAMIENTO INICIAL"
610;44;"INVISALIGN LITE (SF): IMPRESIONES Y REGISTRO DE MORDIDA PARA ESTUDIO ESPECÍFICO DE INVISALIGN"
611;44;"INVISALIGN LITE (SF): INSTALACIÓN INICIAL"
612;44;"INVISALIGN LITE: CAMBIO A FULL"
613;44;"INVISALIGN LITE: CAMBIO A ISEVEN"
614;44;"INVISALIGN LITE: CAMBIO A TEEN"
615;44;"INVISALIGN LITE: CANCELACIÓN DE TRATAMIENTO ANTES DE LA ACEPTACIÓN DE CLINCHECK O SIMULACIÓN DE TRATAMIENTO"
616;44;"INVISALIGN LITE: CANCELACIÓN DE TRATAMIENTO DESPUÉS DE LA ACEPTACIÓN DE CLINCHECK O SIMULACIÓN DE TRATAMIENTO"
617;44;"INVISALIGN LITE: IMPRESIONES Y REGISTRO DE MORDIDA PARA REFINAMIENTO ADICIONAL"
618;44;"INVISALIGN LITE: IMPRESIONES Y REGISTRO DE MORDIDA PARA REFINAMIENTO INCLUIDO PRIMERO"
619;44;"INVISALIGN TEEN (CF-A): ACEPTACIÓN DE CLINCHECK O SIMULACIÓN DE TRATAMIENTO INICIAL"
620;44;"INVISALIGN TEEN (CF-A): IMPRESIONES Y REGISTRO DE MORDIDA PARA ESTUDIO ESPECÍFICO DE INVISALIGN"
621;44;"INVISALIGN TEEN (CF-A): INSTALACIÓN INICIAL"
622;44;"INVISALIGN TEEN (CF-B): ACEPTACIÓN DE CLINCHECK O SIMULACIÓN DE TRATAMIENTO INICIAL"
623;44;"INVISALIGN TEEN (CF-B): FINANCIACIÓN (10 MENSUALIDADES)"
624;44;"INVISALIGN TEEN (CF-B): IMPRESIONES Y REGISTRO DE MORDIDA PARA ESTUDIO ESPECÍFICO DE INVISALIGN"
